name,tax_id,irs_name,street_address,city,state,zip,affiliation,website,advertises_apr,facebook,twitter,youtube,instagram,tiktok,donor_website,other_names
LIFE'S CHOICES WOMEN'S CLINIC - LEESBURG,86-1146587,Life's Choices Women's Clinic,"26540 Ace Ave, Suite C-108",Leesburg,FL,34748,Heartbeat International,http://www.lifeschoices.net/ Yes,,https://www.facebook.com/profile.php?id=100086190543352,,https://www.instagram.com/lifeschoiceswomensclinic/,,,,
PREGNANCY & FAMILY CARE CENTER,59-2790823,Christian Care Center Inc,"1309 High St, Building 104",Leesburg,FL,34748,Christian Care Center,https://www.3choicespregnancy.com/ No,,https://www.facebook.com/PFCC777/,,,,,,
PREGNANCY CARE CENTER - LIVE OAK,59-2553369,Pregnancy Crisis Center of Lake City,137 Grande St NE,Live Oak,FL,32064,"Care Net, Heartbeat International",http://www.northfloridapregnancy.com/ Yes,,,,https://www.instagram.com/pregnancycarecenter386/,,,,
LIFECHOICES FAMILY MEDICAL,27-0147122,Lifechoices Womens Care,18560 North Dale Mabry Hwy,Lutz,FL,33548,,https://lifechoicesmedical.com/ Yes,,https://www.facebook.com/guidingstartampa/?fref=ts,,,,,,
FIRST COAST WOMEN'S SERVICES - BAKER COUNTY,59-3200240,First Coast Women's Services,368 South 5th St,MacClenny,FL,32063,Heartbeat Interational,https://fcws.org/ No,,https://www.facebook.com/fcwsprc,,https://www.instagram.com/fcwsjax/?hl=en,,,,
A WOMEN'S PREGNANCY CENTER,45-2645388,A Womens Pregnancy Center of Madison,345 NW Marion St,Madison,FL,32341,Heartbeat International,https://womensprc.org/ Yes,,https://www.facebook.com/fcwsprc,,https://www.instagram.com/fcwsjax/?hl=en,,,,
TRI-COUNTY PREGNANCY CENTER - MCINTOSH,59-3333443,Tri-County Pregnancy Center,20098 North U.S. Hwy 441,McIntosh,FL,32664,,http://www.tcpcfl.org/ No,,https://www.facebook.com/profile.php?id=100064364482593,,,,,,
"PREGNANCY RESOURCES, INC.",59-2542341,Pregnancy Resources,"1678 West Hibiscus Blvd, Suite 102",Melbourne,FL,32935,"Care Net, Heartbeat International",https://www.pregnancyresourcesmelbourne.com/contactNo,,,,,,,,
AGAPE WOMEN'S CENTER,65-1147525,First Space Coast Foundation Inc,300 Magnolia Ave,Meritt Island,FL,32952,"Care Net, Heartbeat International, NIFLA",www.agapewomenscenter.org Yes,,https://www.facebook.com/apc.helps,https://www.youtube.comht/t@psa:/g/wapweww.oinmsteangsrcaemn.tceorm/agapewomenscenter/,,,,,
FLAGLER PREGNANCY HELP MEDICAL CLINIC,20-8155890,Heartbeat of Miami,4391 West Flagler St,Miami,FL,33134,Heartbeat International,http://www.pregnancyhelpclinics.org/ No,,,,https://www.instagram.com/pregnancyhhtteplp:/c/hlienaicrstb/eatofmiami.org/,,,,
TREE OF LIFE PARENTING CENTER,85-0906016,Family Tree of Life Inc,1701 NW 66th St,Miami,FL,33147,,https://www.treeoflifemiami.org/ No,,https://www.facebook.com/TreeofLifeParentingCenter,,https://www.instagram.com/treeoflife_center/,,,,
PREGNANCY OPTIONS MIAMI,46-2090745,Eve's Hope,180 NW 167th St,Miami,FL,33169,,http://www.pregnancyoptionsmiami.org/ No,,https://www.facebook.com/hptrtepgsn:/a/xn.ccoyomp/teiovnessmhoiapmehi/e?lrpef=br_rs,,https://www.instagram.com/pregnancyoptionsmiami/,,,,
LIFE OPTIONS CLINIC,59-3286778,Life Options Clinic,5775 Berryhill Rd,Milton,FL,32570,Heartbeat International,https://lifeoptionsclinic.org/ Yes,,https://www.facebook.com/lifeoptionsclinicFL,,https://www.instagram.com/lifeoptionsclinic/,,,,
COMMUNITY PREGNANCY CLINIC - NAPLES DOWNTOWN,51-0204833,Community Pregnancy Clinics,"661 Goodlette-Franklin Rd, Suite 101",Naples,FL,34102,Heartbeat International,http://www.communitypregnancyclinic.com/cpc/ Yes,,,,https://www.instagram.com/communitypregnancyclinics/,,,,
COMMUNITY PREGNANCY CLINIC - NAPLES MIDTOWN,51-0204833,Community Pregnancy Clinics,"2977 Goodlette-Frank Rd North, Suite 51",Naples,FL,34103,Heartbeat International,http://www.communitypregnancyclinic.com/cpc/ Yes,,,,https://www.instagram.com/communitypregnancyclinics/,,,,
WOMEN'S CARE CENTER - NAPLES,,,3015 Tamiami Trail East,Naples,FL,34112,Heartbeat International,https://www.womenscarecenter.org/naples-florida No,,,,,,,,
OASIS PREGNANCY CARE CENTERS - NEW PORT RICHEY,27-0204244,Oasis Pregnancy Care Centers Corporation,6205 Viola Ln,New Port Richey,FL,34653,"Care Net, Heartbeat International",https://oasispregnancycenter.org/ No,,,,,,,,
HOPE WOMEN'S CENTERS - NORTH LAUDERDALE,65-0213258,Hope Pregnancy Centers,943 Southwest 71 Ave,North Lauderdale,FL,33068,"Care Net, Heartbeat International",http://hopewomenscenters.com/ Yes,,https://www.facebook.com/hHttoppse:/W/twoimtteern.csoCmen/hteorpsebroWard,,https://www.instagram.com/hopebroWard/,,,,
NORTH MIAMI PREGNANCY HELP MEDICAL CLINIC,20-8155890,Heartbeat of Miami,660 NE 125th St,North Miami,FL,33161,Heartbeat International,http://www.pregnancyhelpclinics.org/ No,,,,https://www.instagram.com/pregnancyhelpclinics/,,,,
PREGNANCY SOLUTIONS - NORTH PORT,65-1085310,Pregnancy Solutions,"5400 South Biscayne Dr, Suite G",North Port,FL,34287,Heartbeat International,http://pregnancysolutions.org/ Yes,,https://www.facebook.com/PregnancySolutions/,,https://www.instagram.com/pregnancysolutions/,,,,
WOMEN'S PREGNANCY CENTER,59-2017427,Education For Life Inc,1701 East Silver Springs Blvd,Ocala,FL,34470,Heartbeat International,https://wpcocala.com/ Yes,,https://www.facebook.com/wpcocala,,https://www.instagram.com/wpcocala,,,,
ALPHA CENTER FOR WOMEN - OCALA,59-3541234,Good News For Life Inc,118 North Pine Ave,Ocala,FL,34475,Heartbeat International,,,https://www.facebook.com/alphaocala/,,,,,,
PREGNANCY CENTER OF OKEECHOBEE,33-1164762,Pregnancy Center of Okeechobee,808 Northeast Park St,Okeechobee,FL,34972,"Care Net, Heartbeat International",http://okeepregcenter.com/ No,,,,,,,,
FIRST COAST WOMEN'S SERVICES - CLAY COUNTY,59-3200240,First Coast Womens Services,105 Old Jennings Rd,Orange Park,FL,32065,Heartbeat International,http://fcws.org/ No,,https://www.facebook.com/fcwsprc,,https://www.instagram.com/fcwsjax/?hl=en,,,,
CHOICES WOMEN'S CLINIC - DOWNTOWN,59-2343999,Choices Womens Clinic Inc,1851 West Colonial Dr,Orlando,FL,32804,"Care Net, Heartbeat International",http://www.choiceswomensclinic.com/ No,,,,,,,,
JMJ PREGNANCY CENTER - ORLANDO,65-0165332,Jmj Life Center Inc,1401 West Colonial Dr,Orlando,FL,32804,Heartbeat International,https://jmjpc.org/ Yes,,,,,,,,
FIRST EMBRACE,45-3438576,First Community Care Inc,"3125 Bruton Blvd, Suite B",Orlando,FL,32805,Heartbeat International,http://www.pregnancyanswers.org/ Yes,,,,,,,,
ASSURED WOMEN'S HEALTHCARE,45-3910018,Assured Womens Healthcare Inc,2025 Culver Rd,Orlando,FL,32817,,https://assuredorlando.org/ No,,https://www.facebook.com/AssuredWomensHealthcare,,https://www.instagram.com/assuredwomenshealthcare/,,,,Thrive Orlando
BETHANY CHRISTIAN SERVICES - ORLANDO,,,"7751 Kingspoint Pkwy, Suite 126",Orlando,FL,32819,Bethany Christian Services,https://bethany.org/locations/us/florida/central-florida No,,,,,,,,
PREGNANCY OPTIONS MIAMI - OVERTOWN,46-2090745,Eve's Hope,217 NW 15th St,Overtown,FL,33136,,http://www.pregnancyoptionsmiami.org/ No,,https://www.facebook.com/hptrtepgsn:/a/xn.ccoyomp/teiovnessmhoiapmehi/e?lrpef=br_rs,,https://www.instagram.com/pregnancyoptionsmiami/,,,,
CHOICES WOMEN'S CLINIC - UCF,59-2343999,Choices Womens Clinic Inc,100 Carrigan Ave,Oviedo,FL,32765,"Care Net, Heartbeat International",http://www.choiceswomensclinic.com/ No,,,,,,,,
A WOMEN'S RESOURCE CENTER,59-3569298,A Womens Resource Center of Palatka FL,219 North Palm Ave,Palatka,FL,32177,"Care Net, Heartbeat International",https://awrcenter.org/ No,,,,,,,,
PALM BEACH WOMEN'S CLINIC - PALM BEACH GARDENS,59-2248369,First Care Family Resource Inc,"8645 North Military Trail, Suite 512",Palm Beach Gardens,FL,33410,Care Net,https://palmbeachwc.org/ No,,https://www.facebook.com/PalmBeachWomensClinic/,,https://www.instagram.com/palmbeachhwttposm:/e/fnirssctclianrice/forlife.com/about-us/,,,,
ALPHA WOMEN'S CENTER,59-3559606,Alpha Pregnancy Center of Palm Coast,"20 Airport Rd, Suite A",Palm Coast,FL,32164,Heartbeat International,https://alphawomencenter.org Yes,,https://www.facebook.com/alphawomencenter/,,https://www.instagram.com/flaglerwomenscenter,,,,Flagler Women's Center
PREGNANCY OPTIONS MIAMI - PALMETTO BAY,46-2090745,Eve's Hope,"9000 Southwest 152nd St, Suite 105",Palmetto Bay,FL,33157,,http://www.pregnancyoptionsmiami.org/ No,,https://www.facebook.com/hptrtepgsn:/a/xn.ccoyomp/teiovnessmhoiapmehi/e?lrpef=br_rs,,https://www.instagram.com/pregnancyhottpptsio:/n/esmveiashmoi/pe.info/,,,,
NORTH RIVER CARE PREGNANCY CENTER,01-0713126,North River Care,"1020 10th Ave West, Suite 100",Palmetto,FL,34221,,http://www.northrivercare.org/ No,,,,,,,,
PREGNANCY RESOURCE CENTER OF PANAMA CITY,59-2554673,Pregnancy Resource Center of Panama City,701 Jenks Ave,Panama City,FL,32401,"Care Net, Heartbeat International",http://anotherheart.org/ Yes,,https://www.facebook.com/anotherheart,,https://www.instagram.com/prc_panama_city/,,,,
A SHELTERING TREE,59-2793858,St Andrew Christian Care Center Inc,1616 Cincinnati Ave,Panama City,FL,32401,,https://sacccpc.org/pregnancy-care-center-1 No,,https://www.facebook.com/people/A-Sheltering-Tree/100048536786986/,,,,,,
HOPE WOMEN'S CENTER - PEMBROKE PINES,65-0213258,Hope Pregnancy Centers,"10081 Pines Blvd, Suite E-1",Pembroke Pines,FL,33023,"Care Net, Heartbeat International",https://www.hopewomenscenters.com/ Yes,,https://www.facebook.com/hHttoppse:/W/twoimtteern.csoCmen/hteorpsebroWard,,https://www.instagram.com/hopebroWard/,,,,
SAFE HARBOR PREGNANCY MEDICAL CENTER,59-2941896,Safe Harbor Pregnancy Medical Center,2280 North 9th Ave,Pensacola,FL,32503,Care Net,https://www.safeharborpmc.org/ Yes,,https://www.facebook.com/SafeHarborFriends/,,,,,https://www.shfriends.org/,
ALPHA CENTER,23-7399367,Alpha Center,6004 Pernella Rd,Pensacola,FL,32504,Heartbeat International,https://alphacenterinc.org/ No,,,,,,,,
A WOMAN'S PLACE MEDICAL CLINIC - PINELLAS PARK,59-2588366,New Life Solutions Inc,8001 66th St North,Pinellas Park,FL,33781,Heartbeat International,https://www.awomansplaceclinic.com/ Yes,,https://www.facebook.com/AWomansPlaceMedical/,,https://www.instagram.com/awomansplaceclinic,,,,
PREGNANCY CARE CENTER OF PLANT CITY,59-3139161,Pregnancy Care Center of Plant City,304 North Collins St,Plant City,FL,33563,"Care Net, Heartbeat International",http://plantcitypregnancycenter.org/ Yes,,https://www.facebook.com/PregnancyCareCenterofPlantCity,,https://www.instagram.com/pregnancyh_ttcpasr:e//_scuepnptoerrt_.pplca/ntcitypregnancycenter.org/,,,,
PREGNANCY SOLUTIONS - PORT CHARLOTTE,65-1085310,Pregnancy Solutions,"950 Tamiami Trail, Suite 105",Port Charlotte,FL,33948,Heartbeat International,https://pregnancysolutions.org/ Yes,,,,,,,,
CARE NET PREGNANCY SERVICES OF THE TREASURE COAST- PORT ST. LUCIE EAST,65-0156575,Crisis Pregnancy Center of the Treasure Coast,6704 South US Hwy 1,Port St. Lucie,FL,34952,Care Net,https://www.carenettc.com/ Yes,,https://www.facebook.com/Care,Nettc,https://www.instagram.com/Care,,Nettc/,,
CARE NET PREGNANCY SERVICES OF THE TREASURE COAST - DARWIN SQUARE,65-0156575,Crisis Pregnancy Center of the Treasure Coast,3237 SW Port St. Lucie Blvd.,Port St. Lucie,FL,34952,Care Net,https://www.carenettc.com/ Yes,,https://www.facebook.com/Care,Nettc,https://www.instagram.com/Care,,Nettc/,,
THE PREGNANCY CENTER OF SANFORD,59-3458060,Sanford Crisis Pregnancy Center,1002 South French Ave,Sanford,FL,32771,Heartbeat International,https://thepregnancycenters.com/ Yes,,https://www.facebook.com/ThePregnancyCenters,,,,,,
COMMUNITY PREGNANCY CLINIC - SARASOTA,51-0204833,Community Pregnancy Clinics,1419 7th St,Sarasota,FL,34236,Heartbeat International,http://www.communitypregnancyclinic.com/cpc/ Yes,,,,https://www.instagram.com/communitypregnancyclinics/,,,,
SARASOTA MEDICAL PREGNANCY CENTER,05-0533818,Sarasota Medical Pregnancy Center,"1762 Hawthorne St, Suite 5",Sarasota,FL,34239,"Care Net, Heartbeat International",http://www.sarasotapregnancy.com/ No,,https://www.facebook.com/sarasotapregnancy/,,https://www.instagram.com/sarasotaphrettgpnsa:/n/dcoyn/or.sarasotapregnancy.com/home,,,,
CHOICES PREGNANCY CARE CENTER - SEBRING,42-1574213,Choices Family Resource Centers,1119 U.S. Hwy 27 South,Sebring,FL,33870,"Care Net, Heartbeat International",http://choicesfrc.com/ No,,https://www.facebook.com/hCtthposi:c/e/tswFitRteCr./com/ChoicesFRC,,https://www.instagram.com/choices_frc_/,,,,
FOUNDATIONS OF LIFE PREGNANCY CENTER - PINELLAS,59-0875805,Catholic Charities Diocese Of St Petersburg Inc,6247 Seminole Blvd,Seminole,FL,33772,Heartbeat International,https://www.foundationsoflife.org/ Yes,,https://www.facebook.com/FOLPregnancyCtr/,,,,,,
FOUNDATIONS OF LIFE PREGNANCY CENTER - SPRING HILL-HERNANDO COUNTY,59-0875805,Catholic Charities Diocese Of St Petersburg Inc,8370 Forest Oaks Blvd,Spring Hill,FL,34606,Heartbeat International,https://www.foundationsoflife.org/ Yes,,https://www.facebook.com/FOLPregnancyCtr/,,,,,,
A NEW GENERATION,59-3596705,A New Generation of Hernando,3027 Landover Blvd,Spring Hill,FL,34609,Care Net,https://anewgen.org/ No,,,,,,,,
FIRST COAST WOMEN'S SERVICES - ST. AUGUSTINE,59-3200240,First Coast Womens Services,232 Southpark Circle East,St. Augustine,FL,32086,Heartbeat Interational,https://fcws.org/ No,,https://www.facebook.com/fcwsprc,,https://www.instagram.com/fcwsjax/?hl=en,,,,
THE NEXT STEPP LIFE CENTER,59-3173118,St Petersburg Pregnancy Center The Next STEPP Center,1210 22nd St South,St. Petersburg,FL,33712,Care Net,http://nextstepp.org/ No,,https://www.facebook.com/TheNextStepp,,,,,,
BAY AREA PREGNANCY CENTER - ST. PETERSBURG,59-2606601,Bay Area Pregnancy Center,4501 30th Ave North,St. Petersburg,FL,33714,,http://www.mybapc.com/ No,,https://www.facebook.com/mybapc/,,,,,,
PREGNANCY HELP & INFORMATION CENTER,59-1745861,Pregnancy Help and Information Center,1710 South Gadsden St,Tallahassee,FL,32301,Heartbeat International,http://phicenter.org/ Yes,,https://www.facebook.com/PHICenter/,,https://www.instagram.com/phicenter.tlh,,,,
WOMEN'S CLINIC OF TALLAHASSEE,82-1270885,Healthy Woman Women's Clinics of Florida,"1605 East Plaza Dr, Suite 103",Tallahassee,FL,32301,,http://www.womensclinictallahassee.com/ No,,https://www.facebook.com/WomensClinicTallahassee/,,,,,,
A WOMEN'S PREGNANCY CENTER,59-2632869,A Women's Pregnancy Center,919 West Pensacola St,Tallahassee,FL,32304,Heartbeat International,http://www.awomenspregnancycenter.com/ Yes,,https://www.facebook.com/awomenspregnancycentertallahassee,,https://www.instagram.com/awpc.tally/,,,,
FOUNDATIONS OF LIFE PREGNANCY CENTER - TAMPA,59-0875805,Catholic Charities Diocese Of St Petersburg Inc,6845 North Dale Mabry Hwy,Tampa,FL,33612,Heartbeat International,https://www.foundationsoflife.org/ Yes,,https://www.facebook.com/FOLPregnancyCtr/,,,,,,
KNIGHTS WOMEN'S CENTER,59-0875805,Catholic Charities Diocese Of St Petersburg Inc,2002 East Fletcher Ave,Tampa,FL,33612,Heartbeat International,http://www.ccdosp.org/knights-womens-center/ No,,https://www.facebook.com/hCttCphsa:/r/titwieitsteDrO.cSoPm/CChhtatpristi:e//swDwOwS.yPoutube.comht/tcphsa:/n/wnewl/wU.CinpsZta2gEraXmV.ocIoJmv9/vc0chvoamritLieOsdUoHs8pw/,,,,,,
A WOMAN'S PLACE MEDICAL CLINIC - TOWN N COUNTRY,59-2588366,New Life Solutions Inc,"6301 Memorial Hwy, Suite 204",Tampa,FL,33612,Heartbeat International,https://www.awomansplaceclinic.com/ Yes,,https://www.facebook.com/AWomansPlaceMedical/,,https://www.instagram.com/awomansplaceclinic/,,,,
OASIS PREGNANCY CARE CENTERS - TAMPA,27-0204244,Oasis Pregnancy Care Centers Corporation,14620 North Nebraska Ave C,Tampa,FL,33613,"Care Net, Heartbeat International",https://oasispregnancycenter.org/ No,,,,,,,,
A WOMAN'S PLACE MEDICAL CLINIC - NORTH TAMPA,59-2588366,New Life Solutions Inc,14492 University Cove Place,Tampa,FL,33613,Heartbeat International,https://www.awomansplaceclinic.com/ Yes,,https://www.facebook.com/AWomansPlaceMedical/,,https://www.instagram.com/awomansplaceclinic/,,,,
UPPER PINELLAS PREGNANCY SUPPORT,,,80 North Walton Ave,Tarpon Springs,FL,34689,St Ignatius of Antioch Catholic Church,https://www.saintignatius.net/UPPCS,,,,,,,,
PREGNANCY SOLUTIONS - VENICE,65-1085310,Pregnancy Solutions,504 East Venice Ave,Venice,FL,34285,Heartbeat International,http://pregnancysolutions.org/ Yes,,,,,,,,
"VENICE AREA PREGNANCY CARE CENTER, INC.",65-0020968,Venice Area Pregnancy Care Center,301 Bayshore Dr,Venice,FL,34285,,http://www.vapcc.org/ No,,https://www.facebook.com/veniceareapregnancycarecenter/,,,,,,
CARE NET PREGNANCY CENTER OF INDIAN RIVER COUNTY,59-2344840,Care Net Pregnancy Center of IRC,"1355 37th St, Suite 301",Vero Beach,FL,32960,"Care Net, Heartbeat International",https://carenetirc.org/ Yes,,,,,,,,
CHOICES FAMILY RESOURCE CENTERS - WAUCHALA,42-1574213,Choices Family Resource Centers,417 Carlton St,Wauchula,FL,33873,"Care Net, Heartbeat International",http://choicesfrc.com/ No,,https://www.facebook.com/hCtthposi:c/e/tswFitRteCr./com/ChoicesFRC,,https://www.instagram.com/choices_frc_/,,,,
OASIS PREGNANCY CARE CENTERS - WESLEY CHAPEL,27-0204244,Oasis Pregnancy Care Centers Corporation,"5854 Argerian Dr, Suite 103",Wesley Chapel,FL,33545,"Care Net, Heartbeat International",http://oasispregnancycenter.org/ No,,,,,,,,
BIRTHLINE LIFELINE - WEST PALM BEACH,59-2470479,"Catholic Charities Diocese of Palm Beach, Inc.",3115 45th St.,West Palm Beach,FL,33407,Heartbeat Interational,https://birthlinelifeline.org/ Yes,,https://www.facebook.com/catholiccharitiespb/,,,,,,
TRI-COUNTY PREGNANCY CENTER - WILLISTON,59-3333443,Tri-County Pregnancy Center,426 West Noble Ave,Williston,FL,32696,,https://tricountypregnancycenter.org No,,https://www.facebook.com/profile.php?id=100064364482593,,,,,https://www.tcpcfl.com/,
LIFECHOICE PREGNANCY CENTER,59-2950617,Lifechoice Pregnancy Center,235 East Central Ave,Winter Haven,FL,33880,"Care Net, Heartbeat International, NIFLA",https://lifechoicewh.com/ Yes,,https://www.facebook.com/LifeChoiceWH,,https://www.instagram.com/lifechoicewh/,,,,
THE PREGNANCY CENTER OF WINTER PARK,59-3458060,Sanford Crisis Pregnancy Center,2425 Lee Rd,Winter Park,FL,32789,Heartbeat International,https://thepregnancycenters.com/ Yes,,https://www.facebook.com/ThePregnancyCenters,,,,,,
PREGNANCY CARE CENTER OF ZEPHYRILLIS,20-5427294,The Pregnancy Care Center of Zephyrhills,38435 North Ave,Zephyrillis,FL,33542,Care Net,http://www.pcczhills.com No,,https://www.facebook.com/people/Pregnancy-Care-Center-of-Zephyrhills/100041194160023/,,,,,,
COBB PREGNANCY RESOURCE CENTER,47-5021052,Cobb Pregnancy Resource Center of Georgia,"5655 Lake Acworth Dr, Suite 240",Acworth,GA,30101,,http://www.cobbpregnancyresourcecenter.org/ No,,,,,,,,
ALPHA PREGNANCY CENTER - ALBANY,58-6009350,Sherwood Baptist Church / Mallary,2129 Whispering Pines Rd,Albany,GA,31707,Heartbeat International,https://alphapregnancycenter.net/ Yes,,https://www.facebook.com/alphaswga/,,https://www.instagram.com/alphapregnancycenter,,,,
HOPE CENTER,58-1778995,Hands of Hope Pregnancy and Resource Center,413 West Forsyth St,Americus,GA,31709,Heartbeat Interational,http://www.americuspregnancy.org/ No,,,,,,,,Hands of Hope Pregnancy Resource Center
COMPASS WOMEN'S CLINIC OF ATHENS,,,"644 North Chase St,nSuite 103",Athens,GA,30606,Care Net,https://cwcathens.org/ No,,https://www.facebook.com/CWCofAthens,,https://www.instagram.com/cwcofathens,,,,
ATHENS PREGNANCY CENTER,82-1969331,Athens Pregnancy Center,767 Oglethorpe Ave,Athens,GA,30606,Care Net,https://athenspc.org/ No,,https://www.facebook.com/athpregcenter/,,,,,,
ATLANTA CARE CENTER,58-1489642,Atlanta Care Center,"1801 Peachtree St, Suite 225",Atlanta,GA,30309,Heartbeat International,http://www.atlantacare.com/ No,,,,,,,,
PREGNANCY AID CLINIC - ATLANTA,58-1592562,Pregnancy Aid Clinic,440 Ralph McGill Blvd NE,Atlanta,GA,30312,Heartbeat International,https://pac-woman.com/ Yes,,https://www.facebook.com/hPtAtpCs:w//oxm.coamna/ptl/ac_woman_atl,,https://www.instagram.com/pac_womahntt_past:l///pregnancyaidclinic.com/,,,,
AUGUSTA CARE PREGNANCY CENTER - DOWNTOWN,58-1461982,Augusta Care Pregnancy Center,1298 1/2 Broad St,Augusta,GA,30901,,http://www.augustacpc.org/ No,,,,,,,,
AUGUSTA CARE PREGNANCY CENTER - WEST AUGUSTA,58-1461982,Augusta Care Pregnancy Center,"2915 Professional Pkwy, Suite B",Augusta,GA,30907,,http://www.augustacpc.org/ No,,,,,,,,
FIRST CARE WOMEN'S CLINIC - SOUTH COBB,58-1620633,First Care Women's Clinic,"3999 Austell Rd, Suite 363",Austell,GA,30106,,https://firstcarewomensclinic.com/en/ Yes,,https://www.facebook.com/firstcarewomensclinicga/,,,,,,
FIRST OPTION CARE OF BAINBRIDGE,20-1585087,First Option Care,310 South Scott St,Bainbridge,GA,39819,Heartbeat International,https://www.1stoption.care/ No,,,,,,,,
GEORGIA MOUNTAIN PREGNANCY CENTER,81-3785285,Georgia Mountain Pregnancy Center,"136 Hospital Rd, Suite A",Blairsville,GA,30512,Heartbeat International,https://www.gmpcmedical.org/ Yes,,,,https://www.instagram.com/georgiamtnpregnancy/,,,,
SKYLARK - BRUNSWICK,58-1967329,Skylark Clinic Inc,3548 Community Rd,Brunswick,GA,31520,Care Net,https://helloskylark.com/ Yes,,https://www.facebook.com/skylarkclinic,,https://www.instagram.com/skylarkclinic,,,,
FIRST OPTION CARE OF CAIRO,20-1585087,First Option Care,930 4th St SE,Cairo,GA,39828,Heartbeat International,https://www.1stoption.care/ No,,,,,,,,
CALHOUN PREGNANCY CENTER,58-2009290,Calhoun Pregnancy Center Inc,200 East Belmont Dr,Calhoun,GA,30701,Heartbeat International,http://www.calhounpregnancycenter.com/ No,,https://www.facebook.com/calhounpregnancycenter/,,,,,,
ALPHA PREGNANCY CENTER - CAMILLA,58-6009350,Sherwood Baptist Church / Mallary,23 North Ellis St,Camilla,GA,31730,Heartbeat International,https://alphapregnancycenter.net/ Yes,,https://www.facebook.com/24alpha,,https://www.instagram.com/alphapregnancycenter/,,,,
"FRANKLIN LIFE PREGNANCY RESOURCE CENTER, INC.",80-0510530,Franklin Life Pregnancy Resource Center,7747 Royston Rd,Carnesville,GA,30521,,https://franklinlifeprc.com Yes,,https://www.facebook.com/franklinlifepregnancyresourcecenter/,,,,,,
ASCEND WOMEN'S CARE & FAMILY SUPPORT - CARROLLTON,58-1752438,Pregnancy Resource Center / Carroll Sav-A-Life Center Inc,514 Tanner St,Carrollton,GA,30117,NIFLA,https://www.ascendwga.com/ No,,https://www.facebook.com/ascendwga,https://www.youtube.comht/t@psa:/s/cwewnwdw.ingsataghrtatpms.:c//owmw/was.tciketnodkw.cgoam//@ascendwga,,,,,
BARTOW FAMILY RESOURCES,20-5764028,Bartow Family Resources,"200 Leake St, Suite 107",Cartersville,GA,30120,,https://bartowfamilies.com/ No,,https://www.facebook.com/BartowFamilyResources/,,https://www.instagram.com/bartowfamilyresources/,,,,
POLK PREGNANCY CENTER,58-2591340,Life Matters Outreach,134 East Fairmount Ave,Cedartown,GA,30125,"Care Net, Heartbeat International",https://www.polkpregnancy.org/ No,,https://www.facebook.com/lmopregnancycc,,,,,https://www.lifemattersoutreach.net/,LMO Pregnancy Center
BIRTHRIGHT OF ATLANTA,51-0161649,Birthright,3424 Hardee Ave,Chamblee,GA,30341,Birthright International,http://www.birthrightofatlanta.com/ No,,,,https://www.instagram.com/birthrightof.atlanta/,,,,
CLEVELAND CARE CENTER,45-4308989,Cleveland Care Center,105 North Main St,Cleveland,GA,30528,Care Net,http://www.clevelandcarecenter.com/ No,,https://www.facebook.com/Affirming.the.value.of.every.life/,,,,,,
SENECA CHOICES FOR LIFE,47-2164182,Seneca Choices for Life,3900 Rosemont Dr,Columbus,GA,31904,Heartbeat International,https://senecacfl.life/ Yes,,https://www.facebook.com/Senecacfl/,,,,,,
SOUND CHOICES PREGNANCY CLINIC,,,1316 Wynnton Ct,Columbus,GA,31906,Care Net,http://soundchoicespc.org/ Yes,,https://www.facebook.com/SoundChoices,,https://www.instagram.com/soundchoices/,,,,
HOPE PREGNANCY RESOURCE CENTER,58-2385752,The Hope Pregnancy Resource Center,1747 North Elm St,Commerce,GA,30529,,https://hopepregnancyresourcecenter.com/ No,,https://www.facebook.com/HopePRCCommerceGA/,,,,,,
REFUGE PREGNANCY CENTER,58-1592691,Refuge Pregnancy Center Inc,"1400 Parker Rd, Suite 100",Conyers,GA,30094,"Care Net, Heartbeat International",https://www.refugeconyers.org/ Yes,,https://www.facebook.com/RefugeCenterConyers,,,,,,
NEWTON PREGNANCY RESOURCE CENTER,47-4231275,Newton Pregnancy Resource Center,5278 Adams St,Covington,GA,30014,"Care Net, Heartbeat International",http://www.newtonprc.org/ No,,https://www.facebook.com/newtonprc/,,https://www.instagram.com/newtonprc/,,,,
WHISPERING HOPE WOMEN'S RESOURCE & PREGNANCY CENTER,58-2223407,Cumming Women's Center,"133 Samaritan Dr, Suite 306",Cumming,GA,30040,"Care Net, Heartbeat International, NIFLA",https://www.supportwhisperinghope.org/ No,,https://www.facebook.com/whisperinghope4u/,,https://www.instagram.com/whispering_hope_prc/,,,,
NORTH GEORGIA PREGNANCY SERVICES CENTER - DAHLONEGA,58-2288272,Dahlonega Care Center Inc North Georgia Pregnancy Service,"353 North Grove St, Suite C",Dahlonega,GA,30533,Heartbeat International,https://www.ngpregnancyservices.com/ Yes,,https://www.facebook.com/athomeabortionfacts,,https://www.instagram.com/at.home.abortion.facts/,,,,
WOMEN'S ENRICHMENT CENTER,26-1952463,Women's Enrichment Center,109 West Gordon St,Dalton,GA,30720,Care Net,http://www.wecnorthga.org/ Yes,,https://www.facebook.com/WECNorthGA/,,https://www.instagram.com/womensenrichmentcenter/,,,,
